# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2026-03-25 00:53:27.314
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
5.355621,-7.3350,7.5540,-5.6940,11.97
5.355763,-3.8140,5.7670,-5.7640,9.00
5.376013,0.1120,3.4950,-6.0050,6.95
5.376176,2.4990,1.1790,-6.7810,7.32
5.396326,3.3860,0.3080,-7.1910,7.95
5.396589,3.2620,0.6480,-7.0840,7.83
5.422788,3.0200,1.1050,-6.7180,7.45
5.439116,3.9250,1.0120,-5.7570,7.04
5.457650,4.9300,0.1520,-5.1090,7.10
5.457853,5.2750,-0.0350,-4.9510,7.23
5.478361,5.3290,-0.2500,-4.9930,7.31
5.478672,5.0520,-0.4780,-5.2340,7.29
5.504579,4.8820,-0.2800,-5.8260,7.61
5.521812,4.3060,0.6310,-6.8890,8.15
5.539047,3.4970,1.4310,-5.9930,7.08
5.539569,3.0420,1.4660,-4.9630,6.00
5.560453,2.4530,1.2670,-4.1980,5.02
5.560562,1.9160,0.8470,-3.7630,4.31
5.589432,1.4850,0.5050,-3.3170,3.67
5.606628,0.2240,-0.1990,-2.5990,2.62
5.620983,-0.2940,-0.6540,-2.1380,2.26
5.621151,-0.4560,-0.9100,-2.0490,2.29
5.642579,-0.6290,-1.0580,-1.9720,2.32
5.642817,-0.8070,-1.1160,-1.6280,2.13
5.662430,-1.0650,-0.9520,-1.3210,1.95
5.662601,-1.5920,-0.5950,-1.2790,2.13
5.687316,-2.2670,-0.3130,-1.4460,2.71
5.687459,-2.6930,-0.2960,-1.4690,3.08
5.706581,-2.6850,-0.4150,-0.8900,2.86
5.706761,-2.7590,-0.5450,0.3330,2.83
5.722125,-2.9860,-0.6270,1.5690,3.43
5.722244,-3.4810,-1.0300,2.7700,4.57
5.741552,-4.3110,-1.4490,3.8310,5.95
5.741829,-5.2700,-1.6740,4.8590,7.36
5.763535,-5.9860,-1.5360,5.6050,8.34
5.763707,-6.1890,-1.1490,5.5860,8.42
5.788269,-5.9780,-1.1330,5.1060,7.94
5.788515,-5.4740,-1.1820,4.6080,7.25
5.805395,-4.8790,-1.2680,4.3810,6.68
5.805575,-4.4990,-1.2230,4.7920,6.69
5.824608,-4.2210,-1.0410,5.0540,6.67
5.824764,-4.1240,-0.9630,4.7770,6.38
5.845203,-4.2360,-0.9470,4.4860,6.24
5.845416,-3.9730,-1.0660,4.5180,6.11
5.870190,-3.1680,-1.2430,4.5450,5.68
5.888297,-1.8690,-1.4140,4.3600,4.95
5.906033,-1.9820,-1.4370,4.8700,5.45
5.906133,-1.7440,-1.5460,4.6510,5.20
5.927678,-0.9050,-1.7500,4.2410,4.68
5.927967,0.1520,-1.9940,3.9410,4.42
5.952841,1.2560,-2.0700,3.5590,4.30
5.968000,2.8650,-1.9810,4.1780,5.44
5.987640,4.9760,-0.6170,3.6140,6.18
5.988006,5.9130,0.3660,2.9290,6.61
6.007594,6.5500,1.2140,2.4260,7.09
6.007694,6.8130,1.9440,2.4020,7.48
6.028926,7.0470,2.8840,2.0880,7.90
6.029029,7.3600,3.5490,1.1590,8.25
6.051330,7.5870,4.0130,0.2130,8.59
6.051479,7.6400,4.2890,-0.5780,8.78
6.069660,7.3570,4.1450,-1.0810,8.51
6.069762,6.7820,3.7830,-1.2060,7.86
6.090505,5.9770,3.1240,-1.3230,6.87
6.090744,5.4810,2.4610,-1.5060,6.19
6.112222,5.1750,1.9400,-1.7720,5.80
6.112403,4.7030,1.4450,-2.2750,5.42
6.134952,4.0580,1.1080,-2.6650,4.98
6.152356,2.3790,0.3640,-2.1650,3.24
6.171677,1.3780,-1.2100,1.1040,2.14
6.171829,1.5930,-1.2110,1.8330,2.71
6.191786,1.4180,-1.0210,2.1140,2.74
6.191986,0.9040,-0.8950,1.8860,2.27
6.213031,0.4340,-0.7770,1.0680,1.39
6.213171,0.1150,-0.7710,-0.3840,0.87
6.237287,-0.1250,-0.8710,-2.0120,2.20
6.255163,-0.6320,-1.1600,-4.6210,4.81
6.274118,-1.1680,-1.5720,-5.4020,5.75
6.274399,-1.4550,-1.7020,-5.3080,5.76
6.293785,-1.9150,-1.7670,-4.9950,5.63
6.293911,-2.4840,-2.0840,-4.6510,5.67
6.320594,-3.0060,-2.7170,-4.3240,5.93
6.338862,-4.0940,-3.4850,-2.5740,5.96
6.355177,-7.4410,-4.1360,-0.7570,8.55
6.355330,-10.1910,-4.0690,0.0450,10.97
6.375586,-12.5110,-4.0940,0.9440,13.20
6.375790,-12.3680,-3.7710,3.1450,13.31
6.401452,-10.5480,-3.1400,6.3180,12.69
6.420925,-5.9020,-2.3550,10.3740,12.17
6.435845,-1.6020,-1.0840,11.8240,11.98
6.435985,-1.3320,-0.4240,9.5510,9.65
6.456913,-1.0350,0.4760,5.7150,5.83
6.457082,-0.1800,1.6580,1.8890,2.52
6.477227,1.0560,3.0000,-1.3130,3.44
6.477400,2.2430,3.9650,-3.9450,6.03
6.503114,2.7850,4.7220,-6.0370,8.15
6.518477,2.9380,5.7800,-8.7530,10.89
6.538439,3.0080,5.6830,-8.7450,10.85
6.538926,2.8620,5.6910,-7.9750,10.21
6.559660,2.7690,5.8400,-6.8200,9.40
6.559946,2.8130,5.6620,-5.6130,8.45
6.584653,3.1440,5.2310,-4.3220,7.48
6.603761,3.8930,3.7710,-2.1540,5.83
6.620418,4.7550,2.8930,-1.4170,5.74
6.620593,4.8800,2.7630,-1.4650,5.80
6.641319,4.7760,2.5680,-1.4250,5.61
6.641401,2.6770,1.8190,3.3320,4.65
6.665423,3.0550,2.0220,2.2080,4.28
6.682400,3.9080,1.3700,0.1900,4.15
6.701469,3.9720,0.7190,-1.9960,4.50
6.701576,3.5900,0.2880,-1.4570,3.89
6.721035,4.2950,1.2110,-0.2520,4.47
6.721179,3.5470,0.8940,0.6440,3.71
6.741525,2.3760,0.4160,0.9810,2.60
6.741852,1.5460,0.1990,1.4610,2.14
6.767681,-0.6810,0.3940,1.3240,1.54
6.785983,-6.6410,0.0250,0.4220,6.65
6.803675,-1.2020,0.0200,0.5220,1.31
6.803795,2.3630,-0.7800,-0.1790,2.49
6.824264,3.9820,-1.6030,0.2470,4.30
6.824483,3.8360,-2.1290,-0.2440,4.39
