# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 100 Hz
# Recording started at: 2026-03-25 00:46:42.730
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
4.455496,-4.5460,1.8270,-5.3500,7.25
4.455678,-3.9970,1.5780,-4.6090,6.30
4.474677,-3.3980,1.3120,-3.8580,5.31
4.474862,-2.7300,1.0760,-3.1150,4.28
4.496357,-2.1740,0.8710,-2.4860,3.42
4.496561,-1.7450,0.6850,-1.9980,2.74
4.521482,-1.3880,0.5340,-1.5910,2.18
4.539939,-0.8920,0.3460,-1.0190,1.40
4.557315,-0.5770,0.2370,-0.6850,0.93
4.557473,-0.4710,0.1650,-0.5350,0.73
4.579357,-0.3620,0.1470,-0.4450,0.59
4.579566,-0.2570,0.1140,-0.3500,0.45
4.606341,-0.2340,0.1000,-0.2880,0.38
4.624539,-0.1720,0.0430,-0.1860,0.26
4.639499,3.9560,-4.3250,-3.6480,6.90
4.639660,56.1840,-49.2480,-22.1720,77.93
4.659573,50.4100,-51.5730,8.1060,72.57
4.659702,-11.9450,-9.5420,-1.3350,15.35
4.679920,-19.1760,17.3480,2.5110,25.98
4.680101,-15.7060,15.7170,3.3540,22.47
4.705434,-12.5440,12.5560,2.7570,17.96
4.705632,-10.0270,9.8900,2.2040,14.26
4.723522,-8.0490,7.8390,1.7590,11.37
4.723680,-6.4540,6.1500,1.4130,9.03
4.740966,-5.2010,4.8380,1.1230,7.19
4.741149,-4.2010,3.7820,0.8980,5.72
4.761586,-3.2540,3.6770,1.0380,5.02
4.761805,-2.5340,4.1710,1.2820,5.05
4.788267,-1.9010,4.9730,1.6310,5.57
4.806192,1.6750,22.0220,4.2970,22.50
4.822607,2.1110,25.4550,-3.8140,25.83
4.822758,-0.7490,6.2190,-2.7670,6.85
4.843955,-2.8020,-5.8100,-0.3250,6.46
4.844206,-2.9480,-9.3830,0.0820,9.84
4.871378,-2.5350,-9.5000,0.0980,9.83
4.887704,-1.6400,-7.0990,-0.0590,7.29
4.904946,-1.2780,-4.0370,0.0270,4.23
4.905092,-1.3000,-2.2510,0.1640,2.60
4.925036,-1.2050,-0.3540,0.2340,1.28
4.925211,-1.1250,1.5930,0.2540,1.97
4.951655,-0.9930,3.5170,0.1440,3.66
4.966409,-0.1480,6.3450,-0.3340,6.36
4.986347,0.4240,4.1680,-0.2890,4.20
4.986514,0.3390,0.3810,0.2290,0.56
5.004994,0.4780,-2.2990,0.0610,2.35
5.005151,0.6390,-3.4080,-0.1060,3.47
5.025566,0.7320,-3.3850,-0.0650,3.46
5.025753,0.8460,-2.6790,-0.0180,2.81
5.045358,0.9310,-1.6300,0.0020,1.88
5.045537,1.1010,-0.5510,-0.0260,1.23
5.072295,1.3040,0.3130,-0.0170,1.34
5.087612,1.4650,0.7810,-0.0550,1.66
5.107990,0.9610,-0.6160,-0.0680,1.14
5.108177,0.4930,-1.5920,-0.0430,1.67
5.127797,0.0320,-2.4480,-0.0530,2.45
5.127878,-0.2910,-3.0140,-0.0850,3.03
5.149201,-0.4930,-3.2630,-0.0540,3.30
5.149288,-0.6130,-3.3330,-0.0200,3.39
5.168582,-0.6150,-3.2440,-0.0200,3.30
5.168694,-0.5170,-3.1410,-0.0100,3.18
5.189478,-0.2350,-3.1340,-0.0440,3.14
5.189577,1.0850,-3.2580,-0.3590,3.45
5.209483,4.0210,-3.7480,-0.9350,5.58
5.209675,24.2990,-6.0210,-5.7450,25.68
5.237884,49.8780,-15.6400,-6.7560,52.71
5.257128,-11.8120,0.8400,0.8530,11.87
5.271359,-14.4990,4.5740,2.4010,15.39
5.271536,-11.8310,3.8450,2.0780,12.61
5.291571,-9.5160,3.1080,1.7450,10.16
5.291723,-7.6070,2.5380,1.5050,8.16
5.312049,-6.1010,2.0880,1.3400,6.59
5.312257,-4.9050,1.8870,1.4740,5.46
5.336842,-4.1410,1.8540,0.5580,4.57
5.337017,-4.2010,2.9100,-0.3030,5.12
5.356389,-8.2780,3.4790,-9.9770,13.42
5.356477,-14.6590,1.2620,-28.7310,32.28
5.373383,-12.5360,-1.7610,-30.9840,33.47
5.373580,3.1140,-3.7400,-1.0120,4.97
5.393653,6.5210,-1.9020,11.0630,12.98
5.393865,5.5600,0.2860,11.5760,12.85
5.418398,4.5490,1.5830,8.7420,9.98
5.436961,3.4190,1.8310,1.9410,4.34
5.455928,-0.0610,0.7750,-2.0940,2.23
5.456022,-1.3450,-0.1780,-2.5810,2.92
5.475052,-1.3560,-0.7010,-2.1430,2.63
5.475190,-0.1650,-0.3370,0.0290,0.38
5.494493,0.7580,0.3770,1.5770,1.79
5.494797,0.8570,0.6290,1.5760,1.90
5.516900,0.2080,0.1930,0.2340,0.37
5.517024,-0.3970,-0.2410,-0.6150,0.77
5.535084,-0.1300,-0.0930,-0.3150,0.35
5.535257,0.3360,0.2500,0.3670,0.56
5.554581,0.2260,0.1290,0.4720,0.54
5.554731,-0.1280,-0.0970,-0.0260,0.16
5.576542,-0.0760,0.0020,-0.2560,0.27
5.576683,0.1380,0.0840,0.0550,0.17
5.603687,0.0810,0.0250,0.2390,0.25
5.622575,0.0000,-0.0030,-0.1170,0.12
5.637836,-0.0170,0.0250,0.1020,0.11
5.638018,-0.0460,-0.0020,0.0450,0.06
5.658099,-0.0020,0.0030,-0.0630,0.06
5.658393,0.0410,-0.0120,-0.0120,0.04
5.678181,-0.0180,0.0110,0.0300,0.04
5.678393,-0.0160,0.0100,0.0100,0.02
5.702483,0.0250,0.0010,-0.0120,0.03
5.702654,0.0100,0.0040,0.0070,0.01
5.721646,-0.0080,0.0000,0.0270,0.03
5.721792,0.5630,0.0010,0.5920,0.82
5.739800,0.0520,0.0740,0.1150,0.15
5.739972,-0.1740,-0.1140,0.3470,0.40
5.760130,-0.0300,-0.1090,-0.1530,0.19
5.760300,-0.0790,0.0120,0.1260,0.15
5.784664,0.1790,-0.2390,0.2390,0.38
5.804610,-1.8090,0.4720,-1.1900,2.22
5.804755,-0.5120,-0.1030,-2.8560,2.90
5.820871,-0.3100,-0.4710,0.0570,0.57
5.841120,1.4680,0.2040,1.9730,2.47
5.841314,1.4960,0.4910,0.5690,1.67
5.863433,-0.0930,0.1260,-0.5570,0.58
5.863647,-0.9270,-0.3600,-0.6950,1.21
5.884186,-0.0900,-0.1040,-0.2740,0.31
5.884354,0.4440,0.1650,0.2600,0.54
5.902876,0.3780,0.1490,0.3270,0.52
5.903038,0.0310,0.0000,-0.0940,0.10
5.922987,-0.1300,-0.0870,-0.2610,0.30
5.923154,0.0240,0.0250,0.0610,0.07
5.946010,0.0650,0.0450,0.1610,0.18
